,Team_Name,Year,Wins,Losses,WL%
471,Washington Bullets,1982,43,39,.524
472,New York Knicks,1982,33,49,.402
473,Milwaukee Bucks,1982,55,27,.671
474,Atlanta Hawks,1982,42,40,.512
475,Detroit Pistons,1982,39,43,.476
476,Indiana Pacers,1982,35,47,.427
477,Chicago Bulls,1982,34,48,.415
478,Cleveland Cavaliers,1982,15,67,.183
479,divs_standings_W 1982,1982,W,L,W/L%
480,San Antonio Spurs,1982,48,34,.585
481,Denver Nuggets,1982,46,36,.561
482,Houston Rockets,1982,46,36,.561
483,Kansas City Kings,1982,30,52,.366
484,Dallas Mavericks,1982,28,54,.341
485,Utah Jazz,1982,25,57,.305
486,Los Angeles Lakers,1982,57,25,.695
487,Seattle SuperSonics,1982,52,30,.634
488,Phoenix Suns,1982,46,36,.561
489,Golden State Warriors,1982,45,37,.549
490,Portland Trail Blazers,1982,42,40,.512
491,San Diego Clippers,1982,17,65,.207
492,divs_standings_E 1983,1983,W,L,W/L%
493,Philadelphia 76ers,1983,65,17,.793
494,Boston Celtics,1983,56,26,.683
495,New Jersey Nets,1983,49,33,.598
496,New York Knicks,1983,44,38,.537
497,Washington Bullets,1983,42,40,.512
498,Milwaukee Bucks,1983,51,31,.622
499,Atlanta Hawks,1983,43,39,.524
500,Detroit Pistons,1983,37,45,.451
501,Chicago Bulls,1983,28,54,.341
502,Cleveland Cavaliers,1983,23,59,.280
503,Indiana Pacers,1983,20,62,.244
504,divs_standings_W 1983,1983,W,L,W/L%
505,San Antonio Spurs,1983,53,29,.646
506,Denver Nuggets,1983,45,37,.549
507,Kansas City Kings,1983,45,37,.549
508,Dallas Mavericks,1983,38,44,.463
509,Utah Jazz,1983,30,52,.366
510,Houston Rockets,1983,14,68,.171
511,Los Angeles Lakers,1983,58,24,.707
512,Phoenix Suns,1983,53,29,.646
513,Seattle SuperSonics,1983,48,34,.585
514,Portland Trail Blazers,1983,46,36,.561
515,Golden State Warriors,1983,30,52,.366
516,San Diego Clippers,1983,25,57,.305
517,divs_standings_E 1984,1984,W,L,W/L%
518,Boston Celtics,1984,62,20,.756
519,Philadelphia 76ers,1984,52,30,.634
520,New York Knicks,1984,47,35,.573
521,New Jersey Nets,1984,45,37,.549
522,Washington Bullets,1984,35,47,.427
523,Milwaukee Bucks,1984,50,32,.610
524,Detroit Pistons,1984,49,33,.598
525,Atlanta Hawks,1984,40,42,.488
526,Cleveland Cavaliers,1984,28,54,.341
527,Chicago Bulls,1984,27,55,.329
528,Indiana Pacers,1984,26,56,.317
529,divs_standings_W 1984,1984,W,L,W/L%
530,Utah Jazz,1984,45,37,.549
